Constraint ID,Pattern,File/Lines,Type
JED-17,boolean-property,org/gjt/sp/jedit/Buffer.java:1043,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/EditPane.java:1161,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/View.java:1254,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/View.java:1483,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/View.java:2110,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/buffer/JEditBuffer.java:749,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/bufferio/BufferAutosaveRequest.java:72,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/bufferset/BufferSet.java:99,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/gui/CloseDialog.java:82,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/gui/FilesChangedDialog.java:86,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/jEdit.java:1981,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/jEdit.java:2241,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/jEdit.java:2333,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/jEdit.java:2385,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/jEdit.java:2599,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/jEdit.java:4751,tool-assisted
JED-17,boolean-property,org/gjt/sp/jedit/options/SaveBackupOptionPane.java:210,tool-assisted
JED-18,binary-comparison,org/gjt/sp/jedit/buffer/UndoManager.java:297,manual
JED-19,binary-comparison,org/gjt/sp/jedit/gui/CompleteWord.java:93,manual
JED-2,boolean-property,org/gjt/sp/jedit/jEdit.java:3089,manual
JED-2,boolean-property,org/gjt/sp/jedit/gui/AboutDialog.java:131,tool-assisted
JED-2,boolean-property,org/gjt/sp/jedit/jEdit.java:487,tool-assisted
JED-20,binary-comparison,org/gjt/sp/jedit/gui/CompleteWord.java:93,manual
JED-21,binary-comparison,org/gjt/sp/jedit/textarea/TextArea.java:6000,manual
JED-22,binary-comparison,org/gjt/sp/jedit/textarea/TextArea.java:5673,manual
JED-23,assign-constant,org/gjt/sp/jedit/jEdit.java:174,manual
JED-24,boolean-property,org/gjt/sp/jedit/Buffer.java:1043,manual
JED-24,boolean-property,org/gjt/sp/jedit/Buffer.java:157,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/Buffer.java:367,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/Buffer.java:963,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/EditPane.java:1161,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/View.java:1254,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/View.java:1483,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/View.java:2110,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/buffer/JEditBuffer.java:749,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/bufferio/BufferAutosaveRequest.java:72,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/bufferset/BufferSet.java:99,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/gui/CloseDialog.java:82,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/gui/FilesChangedDialog.java:86,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/jEdit.java:1981,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/jEdit.java:2036,tool-assisted
